,image,ground_truth,tesseract,easyocr,ground_truth_t,tesseract_t,easyocr_t
128,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=761x125 at 0x7BF63A5FF350>,"عدي"" وَ ""ابي البختري""","عدي"" 7 ""ابي البختري""
","البختري ' 9 عدي "" ابي","عدي"" و ""ابي البختري""","عدي"" 7 ""ابي البختري""
","البختري ' 9 عدي "" ابي"
129,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2115x225 at 0x7BF63A5FF8D0>,عِشْرِينَ نَوْعاً أَو سِلاله جغرافيه، وَهِيَ الَّتِي يَعْتَمِد,"عِشْرِينَ نؤعا أو سلاله جغرافيه؛ وَهِي الَّةٍ
يهء وَهِي ال يَفتمِد
",5 عشرين نوعاً أوسلاله جفرافيه. وهي الق يفتمد,عشرين نوعا أو سلاله جغرافيه، وهي التي يعتمد,"عشرين نؤعا أو سلاله جغرافيه؛ وهي الة
يهء وهي ال يفتمد
",5 عشرين نوعا أوسلاله جفرافيه. وهي الق يفتمد
130,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1415x170 at 0x7BF63A5FFD10>,وَسَجَّلَ مَيّاسات وَمَلامِحُ الأَجْسامِ وَما إِلَى دَلَّكَ,"وَسَخَلَ مَيّاسات وَمَلامِحُ السام وَماإِلَى دَلَكَ
",وسجل مياسات وملامح الأجسام وما إلى دلك,وسجل مياسات وملامح الأجسام وما إلى دلك,"وسخل مياسات وملامح السام وماإلى دلك
",وسجل مياسات وملامح الأجسام وما إلى دلك
131,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x133 at 0x7BF63A5FC550>,مُتَفاوِتُونَ بِمَدَى,"مُتَفاوتونَ بمدى
",متفاوتون بمدى,متفاوتون بمدى,"متفاوتون بمدى
",متفاوتون بمدى
132,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=610x106 at 0x7BF6391644D0>,يُؤَدِّي اِبْتِعادُ كَوْكَبِ الأَرْضِ,,يؤدى ابتعاد كوكب الأرض,يؤدي ابتعاد كوكب الأرض,,يؤدى ابتعاد كوكب الأرض
133,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1212x138 at 0x7BF639164E90>,فِيها أَيْضاً حَجّارَةً بُرْكانَيْهِ وَالظاهِر إِنَّها كانَت مِن,"فيها أيِضً حَجَارَةَ بُرْكانيهِ والظاهر إِنَّها كانت من
",فيها أيضاً حجادةً بركانيه والظاهر إنها كانت من,فيها أيضا حجارة بركانيه والظاهر إنها كانت من,"فيها أيض حجارة بركانيه والظاهر إنها كانت من
",فيها أيضا حجادة بركانيه والظاهر إنها كانت من
134,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=983x128 at 0x7BF6391653D0>,الشَرْقِيَّةِ لَها إِلَى مُلْتَقَى الحُدُودِ بِالعَرَبِيَّةِ السعيده. وَ,"الشَرْقِيّةِ لها إِلَى مُلْتَقَى الُدُودٍ بِالعَرَبِبّةِ السعيده. و
",الشرقيةة لها إلى فلتقى الحدود بالعربيةة السعيده. و,الشرقية لها إلى ملتقى الحدود بالعربية السعيده. و,"الشرقية لها إلى ملتقى الدود بالعرببة السعيده. و
",الشرقيةة لها إلى فلتقى الحدود بالعربيةة السعيده. و
135,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1060x125 at 0x7BF6391658D0>,الحية الميتة وكذلك مخلفات و فضلات الكائنات الحية,"اكه الوك رلك عزدوان رنمرت الفا ئنات افك
",الج مبتت رز حلذفات رخنددت اائنات ه,الحية الميتة وكذلك مخلفات و فضلات الكائنات الحية,"اكه الوك رلك عزدوان رنمرت الفا ئنات افك
",الج مبتت رز حلذفات رخنددت اائنات ه
136,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1380x133 at 0x7BF639165850>,نَحَّياهُ وَذٰلِكَ بِالعَمَلِ مِن خِلالَ نَهْضَةِ وَطَنِيَّةٍ اِعْتِماداً,"َنَياةوَخْلِكا بِالسَمَل من يِلالَتَمْصَةوَطَئِيّة إعتمادأاً
",غتياه وذلد بالعمل من خلال نهضه وططنيةة اعتماداً,نحياه وذلك بالعمل من خلال نهضة وطنية اعتمادا,"نياةوخلكا بالسمل من يلالتمصةوطئية إعتمادأا
",غتياه وذلد بالعمل من خلال نهضه وططنيةة اعتمادا
137,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1462x162 at 0x7BF639166590>,تَكُون الطِباع وَفِي خَلْقُ التمايز بَيِّنَ الأَجْناسِ البَشَرِيَّةِ,"ا ةم اما لط ل افيه 27 2
تكون الطباع وَفِي خَلقٌ التمايز بيّنَ الأخناس البَشَرِيِّ
",الأجناس البشريًة وفي خلق التمايز تًكون الطباع بين,تكون الطباع وفي خلق التمايز بين الأجناس البشرية,"ا ةم اما لط ل افيه 27 2
تكون الطباع وفي خلق التمايز بين الأخناس البشري
",الأجناس البشرية وفي خلق التمايز تكون الطباع بين
138,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1084x131 at 0x7BF639166B90>,يَحِقّ لِأَيّ طالَبَ الاِنْضِمامِ إِلَى التَدْرِيبِ المِهْنِيِّ المُتَوَسِّطِ,"يحزء يري طالب ا نماي إِلَ التدَرِيب ابن التو ريد

م 7
",معق رأًببا طالب الانضمام إلى امهغي التر -ط التن ر يب,يحق لأي طالب الانضمام إلى التدريب المهني المتوسط,"يحزء يري طالب ا نماي إل التدريب ابن التو ريد

م 7
",معق رأببا طالب الانضمام إلى امهغي التر -ط التن ر يب
139,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1060x120 at 0x7BF639165D50>,الايقار وَالثِيران وَلِحَمِير وَلِجَمال الَّتِي كاتت تُسْتَخْدَم فِي,"الابقار والنبران ولحمير اعمال التي كانت تُسشتخدم في
",كائت تسخدم في الابقار والنران ولحمر ولجمال _ الئي,الايقار والثيران ولحمير ولجمال التي كاتت تستخدم في,"الابقار والنبران ولحمير اعمال التي كانت تسشتخدم في
",كائت تسخدم في الابقار والنران ولحمر ولجمال _ الئي
140,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1110x143 at 0x7BF639166AD0>,فيها، وَيَمِيل أَهْلِها إِلَى الزِراعَةِ والاستقرار، مِثْلَ مَدِينَةِ,"فيها. وَيَمِيل أفيها إلى الزراعَةٍ والاستقرار مِثْلَ مَدِينَةٍ
",فيهاء ويميل أفيها إتى الزراعة والاستقرار مثل قدينة,فيها، ويميل أهلها إلى الزراعة والاستقرار، مثل مدينة,"فيها. ويميل أفيها إلى الزراعة والاستقرار مثل مدينة
",فيهاء ويميل أفيها إتى الزراعة والاستقرار مثل قدينة
141,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1454x185 at 0x7BF639167050>,العُلَماءِ راو أَنَّ التَغْيِيراتِ الطارِئَةِ عَلَى غِطاءِ,"الكُلّماءٍ راو أَنَّ التغييراتِ الطا
",؟ الغلماء راو أن التفييرات الطارثة على غطا:,العلماء راو أن التغييرات الطارئة على غطاء,"الكلماء راو أن التغييرات الطا
",؟ الغلماء راو أن التفييرات الطارثة على غطا:
142,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=641x118 at 0x7BF639167CD0>,بِذٰلِكَ فَتَغافَلَ صَرَّحُوا لَهُ,"بذلكَ فَتَعْافَّلَ صَرَحُوا لَهُ
",بذلك فتغافل صرًحوا له,بذلك فتغافل صرحوا له,"بذلك فتعافل صرحوا له
",بذلك فتغافل صرحوا له
143,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1137x157 at 0x7BF6391BC1D0>,دَرْسَ مُفِيدٌ – بِطَبْعه أُولَى صَغِيرَةٌ مُؤَلَّفَةٌ مِن,"دَْس مُفِيدٌ - بطبعه أولى صَغِيرَةَ مُوَلَفَةٌ من
",بطبعه أولى ضغيرةً مؤلًفةً من درس مفيد,درس مفيد – بطبعه أولى صغيرة مؤلفة من,"دس مفيد - بطبعه أولى صغيرة مولفة من
",بطبعه أولى ضغيرة مؤلفة من درس مفيد
144,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=862x121 at 0x7BF6391BC5D0>,إِلَى ما يشاكله. قالَ سَجّاده وَهُوَ أَبُو سَعِيد,"الى ما يشاكله. قال سَجا
إلى ما يث 4211
. قال سَّ اده د د

وهو ابو سَعِيد
",إلى مايشاكله . قال سجاده وهو أبو سعيد,إلى ما يشاكله. قال سجاده وهو أبو سعيد,"الى ما يشاكله. قال سجا
إلى ما يث 4211
. قال س اده د د

وهو ابو سعيد
",إلى مايشاكله . قال سجاده وهو أبو سعيد
145,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=740x235 at 0x7BF6391BD210>,وَفِي اليمن، حَيْثُ تُمَثِّل ثَقافَةِ المُجْتَمَعِ جُمْلَةِ مِن,"وفي اليمن. حَيْتُ ثُمَتل ثَقافةٍ المُجْنْمَع جمْلَةِ من
",جملة من ثقافة وفي اليمن حيثً تمثل - المجتمع,وفي اليمن، حيث تمثل ثقافة المجتمع جملة من,"وفي اليمن. حيت ثمتل ثقافة المجنمع جملة من
",جملة من ثقافة وفي اليمن حيث تمثل - المجتمع
146,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1130x163 at 0x7BF6391BD690>,تَعْرِف لَهُ مَثِيلاً مُنْذُ سُقُوطِ رُوما وَتَكاثَرَ سُكّانِ,"يه 0 840 لو و 2 00 76 3
تغرف له مَثِيلا مُنْذْ سُقوط رُوما وَتكاثرَ سكان
",روما وتاثر له مثيلاً منذ سقوط سكان تًعرف,تعرف له مثيلا منذ سقوط روما وتكاثر سكان,"يه 0 840 لو و 2 00 76 3
تغرف له مثيلا منذ سقوط روما وتكاثر سكان
",روما وتاثر له مثيلا منذ سقوط سكان تعرف
147,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=452x92 at 0x7BF6391BDB10>,بِنَفْسِ السُرْعَة,,بنفس الللد عة,بنفس السرعة,,بنفس الللد عة
148,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=812x117 at 0x7BF6391BE0D0>,"وَ مِنهُ ما يَتَجَلَّى لَحَواسّ اخري، أَمّا ""","وَ ينه | #تجلى لواش اطري, أن| ""
", افرى أتا د ينه ما بنجالى قواس,"و منه ما يتجلى لحواس اخري، أما ""","و ينه | #تجلى لواش اطري, أن| ""
", افرى أتا د ينه ما بنجالى قواس
149,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1346x159 at 0x7BF6391BEA50>,وَبَيْنَما يَمِيل البَعْضُ إِلَى عَدَمِ التَمْيِيزِ ما بَيِّنَ,"وَبَيْنْما يَمِيل البَعْض إلى عَدَمٍ التَمْيِيزٍ ما بَيّنَ
",٣ ما بين التفييز وبينما يميل البفض إلى عدم,وبينما يميل البعض إلى عدم التمييز ما بين,"وبينما يميل البعض إلى عدم التمييز ما بين
",٣ ما بين التفييز وبينما يميل البفض إلى عدم
150,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=796x121 at 0x7BF6391BEF10>,عادَةً قَدِيمَةٌ جدا، رُبَّما رافَقَت الإِنْسانِ مُنْذُ يَوْمَ,"م

ت الإنْسانٍ مُنْدُ
يمة جداء 5

200

كم
",ربًما رافقت الإنسان منذ يوم جدا عادةً قديمةً ,عادة قديمة جدا، ربما رافقت الإنسان منذ يوم,"م

ت الإنسان مند
يمة جداء 5

200

كم
",ربما رافقت الإنسان منذ يوم جدا عادة قديمة 
151,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1102x178 at 0x7BF6391BF490>,تَعْلَمهم فِي الماضي. أَهْدافٍ تَعْلِيمِ الكِبارِ وَبِناءَ عَلَى,"تغلمهم في الماضي. أفدافي تَغْلِيم الكبار وَبناءً عَلَى
",وبناء عًلى في الماضي أفدا تفلدهم تفليج الكبار,تعلمهم في الماضي. أهداف تعليم الكبار وبناء على,"تغلمهم في الماضي. أفدافي تغليم الكبار وبناء على
",وبناء على في الماضي أفدا تفلدهم تفليج الكبار
152,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=981x139 at 0x7BF6391BFA10>,شاعَ سَمّ وَتَصْوِيرِ الكائِنات الحَيَّةِ فِي المِنْطَقَةِ العَرَبِيَّةِ,"شاعَ سَم وتَضوير الكاتئنات العبَّةِ فى المِنْطَفَةٍ العَرَببّةِ
",شاغ سة وتضوير الحائنات احية ف المنطقة القربية,شاع سم وتصوير الكائنات الحية في المنطقة العربية,"شاع سم وتضوير الكاتئنات العبة فى المنطفة العرببة
",شاغ سة وتضوير الحائنات احية ف المنطقة القربية
153,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=937x110 at 0x7BF6391BFF50>,وَالاِرْتِقاءِ بِهِ إِلَى مُسْتَوَى يَسْتَجِيب لِمُتَطَلَّباتِ التَنْمِيَة البَشَرِيَّةِ,"والإزتِقاءٍ بهِ إلى ستو
يَستجيب دُتَظَلَّباتِ الك:
",والارزتقاء به إلى مستوى يستًجيب متطلًبات التنمية البشريةة,والارتقاء به إلى مستوى يستجيب لمتطلبات التنمية البشرية,"والإزتقاء به إلى ستو
يستجيب دتظلبات الك:
",والارزتقاء به إلى مستوى يستجيب متطلبات التنمية البشريةة
154,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1169x127 at 0x7BF6391BC650>,بِكِين وَالقاهِرَةِ العريقتين، بِكُلِّ ما لَدَيهِما مِن إِرث,"بكين وَالقاهِرَةٍ العريقتين, بِكلّ ما لَدَييما مِن إرث
",بكين والقاهرة العريقتين بكل مالديهما من إرث,بكين والقاهرة العريقتين، بكل ما لديهما من إرث,"بكين والقاهرة العريقتين, بكل ما لدييما من إرث
",بكين والقاهرة العريقتين بكل مالديهما من إرث
155,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=930x135 at 0x7BF6391C4510>,لِسَبَبِ بسيط،هو أَنَّ أَسالِيبها وَمَعانِيها وَنَسَّقَها لا تَتَّفِق,"سن برع هو أن أساليبربا هاما وَتَكرا ل حَفق,
",ا دمعانبها دففًها بسبط هو أنً تفق  أساليبها لسبب,لسبب بسيط،هو أن أساليبها ومعانيها ونسقها لا تتفق,"سن برع هو أن أساليبربا هاما وتكرا ل حفق,
",ا دمعانبها دففها بسبط هو أن تفق  أساليبها لسبب
156,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=874x117 at 0x7BF6391C4CD0>,الَّتِي سُرْعَتُها ثَمانِيَةِ عَشَرَ كِيلُومِتراً فِي الساعَةَ مِن,"0
عَهُ بن
ثمانعة ف الساعَة
سزعتها عَسَرَ كيلُومتراً فو
عَشَرَ 00 -
5
َ يءه مر
5م22
لبي في
التي
",غشر كيلومتراً في الساعةً من الًتي سرعتها ثمانية,التي سرعتها ثمانية عشر كيلومترا في الساعة من,"0
عه بن
ثمانعة ف الساعة
سزعتها عسر كيلومترا فو
عشر 00 -
5
 يءه مر
5م22
لبي في
التي
",غشر كيلومترا في الساعة من التي سرعتها ثمانية
157,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1148x142 at 0x7BF6391C5290>,"""، ""كان البرد القارس مؤلما، كأنه سهام تخترق","""كا ن المرد القارسصؤ4ه) »كا نه سها ) كبعرق
","سه^ ""ع» كان البرد القارس مؤما سأ نه كسرآ","""، ""كان البرد القارس مؤلما، كأنه سهام تخترق","""كا ن المرد القارسصؤ4ه) »كا نه سها ) كبعرق
","سه^ ""ع» كان البرد القارس مؤما سأ نه كسرآ"
158,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1314x172 at 0x7BF6391C5850>,قَبِلَهُ وَكَذا الهِجْرَةِ وَالحَجّ وَبُعْدَ هَل يُؤاخِذ,"قبلَهُ وكذا الهجْرَة وَالحَحّ وَبَغْدَ قل يُؤْاخِذ
",وكذا الهجرة والحح وبفدهل يؤاخذ قبلهً,قبله وكذا الهجرة والحج وبعد هل يؤاخذ,"قبله وكذا الهجرة والحح وبغد قل يؤاخذ
",وكذا الهجرة والحح وبفدهل يؤاخذ قبله
159,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1268x271 at 0x7BF6391C5E10>,"الوِلاياتِ المتحده. حِينِها فَقَط وَصَلَ الكِتابِ إِلَى ""القمه"".","الولاياتِ المتحده. حِينها فقط وَصَل الكتاب إلى ""القمه"".
","الولايات المتحده. جينها فقط ؤضل الكتاب إلى "" القمه "".","الولايات المتحده. حينها فقط وصل الكتاب إلى ""القمه"".","الولايات المتحده. حينها فقط وصل الكتاب إلى ""القمه"".
","الولايات المتحده. جينها فقط ؤضل الكتاب إلى "" القمه ""."
160,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1262x134 at 0x7BF6391C63D0>,توجد إلا فى      توجد إلا في مناطق محددة من بلد الأجداد,"مرجير [ /إغى ‏ تبر الا مناهقى كرد وحن لاد الإجوراء
",اا مب ماحق محدد ة مد بلد الأح دوعد ا اغ ترحبد,توجد إلا فى      توجد إلا في مناطق محددة من بلد الأجداد,"مرجير [ /إغى ‏ تبر الا مناهقى كرد وحن لاد الإجوراء
",اا مب ماحق محدد ة مد بلد الأح دوعد ا اغ ترحبد
161,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1265x159 at 0x7BF6391C65D0>,أُيُونات الفِلُور والكلور الَّتِي تُهاجِم جُزَيْئات الأُوزُون وَتُحَطِّمها,"أبُونات الفلور والكلور الى تُهاجم جُزْيْئْات الأوزون وَتُحظعها
",٤ وتخطظلمها جزيئات أيونات الفلور والكلور التي الأوزون ثواجم,أيونات الفلور والكلور التي تهاجم جزيئات الأوزون وتحطمها,"أبونات الفلور والكلور الى تهاجم جزيئات الأوزون وتحظعها
",٤ وتخطظلمها جزيئات أيونات الفلور والكلور التي الأوزون ثواجم
162,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=238x136 at 0x7BF6391C62D0>,مُغَطَّى,"7 #ضد
",مغط .,مغطى,"7 #ضد
",مغط .
163,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1293x132 at 0x7BF6391C6890>,تُوَضِّح النَتائِجِ الوارِدَةِ بِالجَدْوَل رَقْمِ سَبْعَةِ وُجُودِ عَلاقَة,"تُوَضح النّتاج الوارِدَّةٍ بِالجَدُوَل زَفْمٍ سَبْعَةِ وجُوِدٍ عَلامّة
",توف ح النتائج الواردق بالجذول رمم سبعة وجود علاقة,توضح النتائج الواردة بالجدول رقم سبعة وجود علاقة,"توضح النتاج الواردة بالجدول زفم سبعة وجود علامة
",توف ح النتائج الواردق بالجذول رمم سبعة وجود علاقة
164,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x97 at 0x7BF6391C6E10>,مِن غازِ ثُنائِيٍّ اوكسيد الكَرْبُون المَوْجُودِ فِي الهَواءِ,"من غاز ثناق | 2 م٠‏ المةكى؟ ن
ز ثناثي اوكسيد الكزئون المَؤْجُودٍ في الهواء
",اوكسيد الكزبون الموجود في الهواء من غاز ثنائئ,من غاز ثنائي اوكسيد الكربون الموجود في الهواء,"من غاز ثناق | 2 م٠‏ المةكى؟ ن
ز ثناثي اوكسيد الكزئون المؤجود في الهواء
",اوكسيد الكزبون الموجود في الهواء من غاز ثنائئ
165,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=656x114 at 0x7BF6391C7390>,وَبِن ما دُونِ السِجِلِّ عَنها أَكَماً كانَ,"وَبن ما دُونٍ السجِلٌ عنها أَكَماً كان
",السجل عنها أكماً كان وبن ما دون,وبن ما دون السجل عنها أكما كان,"وبن ما دون السجل عنها أكما كان
",السجل عنها أكما كان وبن ما دون
166,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1070x172 at 0x7BF6391CC150>,اخر. وَفِي ضِمْنَ هٰؤُلاءِ قَبائِلُ عَرَبِيَّةٍ عديده، ضاعَ,"اخر وفى ضِمَن هؤلاءٍ قبائل عَرَبيَةَ عديده, ضام
",ضفن هؤلاء قبائل عربيًة عديده  ضاع اخر وفي,اخر. وفي ضمن هؤلاء قبائل عربية عديده، ضاع,"اخر وفى ضمن هؤلاء قبائل عربية عديده, ضام
",ضفن هؤلاء قبائل عربية عديده  ضاع اخر وفي
167,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1137x149 at 0x7BF6391CC910>,الغازات الَّتِي تُؤَثِّر وَبِشَكْلٍ مُباشِرٍ فِي رَفْعِ دَرَجَةِ,"الغازات البِي تُؤثر وَيشَّكْل مباشْر في [فع دَرَجَةٍ
",ثؤثر وبشكل فباشر في رفع درجة الفازات التي,الغازات التي تؤثر وبشكل مباشر في رفع درجة,"الغازات البي تؤثر ويشكل مباشر في [فع درجة
",ثؤثر وبشكل فباشر في رفع درجة الفازات التي
168,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1209x175 at 0x7BF6391CCD10>,فِي حَفْرِ العُرُوق الَّتِي تَكُون الذهب، وَأَمْثال ذٰلِكَ,"في حفر العروق الَتى تكون الذهب» وأمثال ذلك
",و ٩ العروق الًبي تكون الذهبء وأًمثال ذلك في حفر,في حفر العروق التي تكون الذهب، وأمثال ذلك,"في حفر العروق التى تكون الذهب» وأمثال ذلك
",و ٩ العروق البي تكون الذهبء وأمثال ذلك في حفر
169,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1061x135 at 0x7BF6391CCD50>,؛ كُلُّها تَشْهَد عَلَى الاِخْتِلالات الكَبِيرَةِ فِي اِسْتِثْمارِ,"؛ كلها سَشْهَد عَلى الإختلالات الكَبيرَةٍ في اشيثمار
",في استثمار كلها تتشهد عل الاختلالات الكبيرة,؛ كلها تشهد على الاختلالات الكبيرة في استثمار,"؛ كلها سشهد على الإختلالات الكبيرة في اشيثمار
",في استثمار كلها تتشهد عل الاختلالات الكبيرة
170,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=893x142 at 0x7BF6391CDA90>,يَتَضايَق الناسِ مِن أَثَّرَ الحُرِّ فيهم، مَعَ إِن,"الاسم 3 ا 0 سصن.
يتضايق الناس من ائر الحر فيهم. مع إن
",من أثر الحد فيهم مع إن يتضايق النالي,يتضايق الناس من أثر الحر فيهم، مع إن,"الاسم 3 ا 0 سصن.
يتضايق الناس من ائر الحر فيهم. مع إن
",من أثر الحد فيهم مع إن يتضايق النالي
171,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=864x106 at 0x7BF6391CE090>,فَلَمّا تَطاوَلَت الأَيّامِ عَلَى سَدِّ مَأْرَب اِمْتَدَّت إِلَيهِ,"ذَلَمَا تطاوَلّت الْأَيَام عَلَى سَدٌ مأب معد تَدّت لَه
",فلما تطاولت الأيام غلى سدً مأرب امتدًت إليه,فلما تطاولت الأيام على سد مأرب امتدت إليه,"ذلما تطاولت الأيام على سد مأب معد تدت له
",فلما تطاولت الأيام غلى سد مأرب امتدت إليه
172,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1327x205 at 0x7BF6391CE6D0>,وَسَنَتَعَرَّف عَلَى الأَماكِن الأَصْلِيَّةِ فِي اليَمَنِ,"وَسَتتعرّف على الأماكن الأضليّة فى اليَمَن
",وسنتعرف على الأماجن الأضية في اليمن,وسنتعرف على الأماكن الأصلية في اليمن,"وستتعرف على الأماكن الأضلية فى اليمن
",وسنتعرف على الأماجن الأضية في اليمن
173,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1140x137 at 0x7BF6391CE890>,عَشَرَ مِن عُمَر الأَشْجارِ فَكانَ اِرْتِفاعِ تِلْكَ الوَتِيرَةِ,"ع١‏
105
هر

عَشَّرَ من عمر الأَنْجَار فكانّ إرتفاع تلك الوتيرة
",فكان ارتفاع تلك من الأشجار الوتيرة عمر عشر,عشر من عمر الأشجار فكان ارتفاع تلك الوتيرة,"ع١‏
105
هر

عشر من عمر الأنجار فكان إرتفاع تلك الوتيرة
",فكان ارتفاع تلك من الأشجار الوتيرة عمر عشر
174,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1425x158 at 0x7BF6391CDD50>,ضِفَّة النَهْرِ لَوْحاتِ رَسَمَها وَأَنْغ وَيْ (رسام صِينِيٌّ,"ضِفة الَهْر لَوْحاتِ رَسَمَها وَأَنْعْ وَِيْ (رسام صِينِيٌ
",صيني ضفة النهر لوحات رسمها وأنغ وي ) رسام,ضفة النهر لوحات رسمها وأنغ وي (رسام صيني,"ضفة الهر لوحات رسمها وأنع وي (رسام صيني
",صيني ضفة النهر لوحات رسمها وأنغ وي ) رسام
175,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1534x199 at 0x7BF6391CE2D0>,مَعْبُوده الفِينِيقِيِّينَ الَّتِي كانُوا يُقَدِّمُونَ الذَبائِح البَشَرِيَّةِ وَالَّتِي,"لاي

مغبُوده الفِينِيقيِينَ الي كاثوا ُقدٌمُونَ الأبائح البسَرِيَةٍ وَالتِي
",البشرية كانوا يقدمون معبوده الفينيقيين الًتي والتي الذبائح,معبوده الفينيقيين التي كانوا يقدمون الذبائح البشرية والتي,"لاي

مغبوده الفينيقيين الي كاثوا قدمون الأبائح البسرية والتي
",البشرية كانوا يقدمون معبوده الفينيقيين التي والتي الذبائح
176,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=411x124 at 0x7BF6391CE8D0>,الصِينِ هٰذا العام.,"الصين هذا العام.
",هذا العام . الصين,الصين هذا العام.,"الصين هذا العام.
",هذا العام . الصين
177,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=864x117 at 0x7BF6391CFB90>,مَذْهَبٍ الغالِبِيَّةِ الَّتِي تَجْعَل بِدايَةِ هٰذا التَقْوِيمِ سَنَةً,"7 - 53
07 - و ‎1١‏ 0 -
مَر ص الغالِيَة ا انه لهذا اس وى سد
صر - 0 سداية ىك ده
‎٠‏ وه - »6 صا -
ُ ب ُُ
",سنةً هنا مزذهًب الغاليتةة التًقوم تجتل بداية الني,مذهب الغالبية التي تجعل بداية هذا التقويم سنة,"7 - 53
07 - و ‎1١‏ 0 -
مر ص الغالية ا انه لهذا اس وى سد
صر - 0 سداية ىك ده
‎٠‏ وه - »6 صا -
 ب 
",سنة هنا مزذهب الغاليتةة التقوم تجتل بداية الني
178,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=676x137 at 0x7BF6391E4310>,ونذكروا ما عَلَيكُم قِبَلَ أَنَّ تَذْكُرُوا ما لكم.,"ونذكروا ما عَلَيكُم قِبَلَ أَنَّ تَْكُرُوا ما لكم.
",ونذكروا ما عليكم قبل أن تذكروا ما لكم.,ونذكروا ما عليكم قبل أن تذكروا ما لكم.,"ونذكروا ما عليكم قبل أن تكروا ما لكم.
",ونذكروا ما عليكم قبل أن تذكروا ما لكم.
179,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=883x131 at 0x7BF6391E49D0>,"مِن القِياسات ""وان كانَت قَلِيله جدا""، إِن المِنْطَقَة","مِن القياسات ""وان كاتت قَلِيله جدا"", إن المنظقة
","إن النطقة القياسات "" وان كانت قليله جدا"" من","من القياسات ""وان كانت قليله جدا""، إن المنطقة","من القياسات ""وان كاتت قليله جدا"", إن المنظقة
","إن النطقة القياسات "" وان كانت قليله جدا"" من"
180,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=790x112 at 0x7BF6391E4C50>,يَزال أَحَدُهُم يَسِل مِن الخَيْط القِطْعَةَ بُعْدَ القِطْعَةَ,"يزال أحذهم تسل من الحَبْط القطعة بُغد القطقة
",يسل من الخيط القطعة بغد القطقة يزال أحدهم,يزال أحدهم يسل من الخيط القطعة بعد القطعة,"يزال أحذهم تسل من الحبط القطعة بغد القطقة
",يسل من الخيط القطعة بغد القطقة يزال أحدهم
