,image,ground_truth,qwenv2.5_3B,ground_truth_t,qwenv2.5_3B_t
227,<PIL.Image.Image image mode=RGB size=1320x103 at 0x7B405DF4E750>,"وسلم قال يخرج من النار من قال لا إله إلا الله وفي قلبه وزن شعيرة من خير ويخرج من النار
","        :

وسررت في أنني من خرج من الأماكن التي لا أستطيع أن أتخيل فيها شعوراً من حزن ودخش من الألم","وسلم قال يخرج من النار من قال لا إله إلا الله وفي قلبه وزن شعيرة من خير ويخرج من النار
","        :

وسررت في أنني من خرج من الأماكن التي لا أستطيع أن أتخيل فيها شعورا من حزن ودخش من الألم"
228,<PIL.Image.Image image mode=RGB size=792x75 at 0x7B405DEFDF10>,"النبي صلى الله عليه وسلم إذا استأذنت امرأة أحدكم فلا يمنعها
","""لَنْ يَصْلِي اللَّهُ عَلَيْكُمْ وَسَلِيمٌ إِذَا أَستَدْفَنتَ إِمَامَكُمْ فَلا تَتَعَجَّبْ""","النبي صلى الله عليه وسلم إذا استأذنت امرأة أحدكم فلا يمنعها
","""لن يصلي الله عليكم وسليم إذا أستدفنت إمامكم فلا تتعجب"""
229,<PIL.Image.Image image mode=RGB size=1243x75 at 0x7B405DF4EC10>,"فصلى فبدأ بالصلاة ثم خطب فلما فرغ نزل فأتى النساء فذكرهن وهو يتوكأ على يد بلال وبلال
","""لقد أصدرنا خصيصاً نداءاً في المسائلة المذكورة ودعا بنا إلى الالتزام بها""

  :

""                 .""","فصلى فبدأ بالصلاة ثم خطب فلما فرغ نزل فأتى النساء فذكرهن وهو يتوكأ على يد بلال وبلال
","""لقد أصدرنا خصيصا نداءا في المسائلة المذكورة ودعا بنا إلى الالتزام بها""

  :

""                 ."""
230,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1450x103 at 0x7B405DF4F2D0>,"الزرقي عن أبي قتادة الأنصاري أن رسول الله صلى الله عليه وسلم كان يصلي وهو حامل أمامة بنت
","'       :

أرجو أن أقدم لكم الأصحي بأن سموها الخاص للإله عليه السلام لا يكاد ينضج ونحن حاملين اسمه","الزرقي عن أبي قتادة الأنصاري أن رسول الله صلى الله عليه وسلم كان يصلي وهو حامل أمامة بنت
","'       :

أرجو أن أقدم لكم الأصحي بأن سموها الخاص للإله عليه السلام لا يكاد ينضج ونحن حاملين اسمه"
231,<PIL.Image.Image image mode=RGB size=1562x57 at 0x7B405DF4F290>,"علي هين وكل ذلك تخدمني وليس على أحد في ذلك بأس أخبرتني عائشة أنها كانت ترجل تعني رأس
",الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,"علي هين وكل ذلك تخدمني وليس على أحد في ذلك بأس أخبرتني عائشة أنها كانت ترجل تعني رأس
",الحمد لله رب العالمين
232,<PIL.Image.Image image mode=RGB size=1028x83 at 0x7B405DF1F650>,"الحيض على بني إسرائيل وحديث النبي صلى الله عليه وسلم أكثر
","""لَاحْضُرْ عَلَى نِيَا إِسْرَائِيلِ وَحَدِيثُ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمْ أَكْتُبُ""","الحيض على بني إسرائيل وحديث النبي صلى الله عليه وسلم أكثر
","""لاحضر على نيا إسرائيل وحديث النبي صلى الله عليه وسلم أكتب"""
233,<PIL.Image.Image image mode=RGB size=1392x77 at 0x7B405DEFF890>,"فقال مرحبا بالأخ الصالح والنبي الصالح قلت من هذا قال هذا عيسى ثم مررت بإبراهيم فقال
","        :

""العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية","فقال مرحبا بالأخ الصالح والنبي الصالح قلت من هذا قال هذا عيسى ثم مررت بإبراهيم فقال
","        :

""العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية"
234,<PIL.Image.Image image mode=RGB size=1190x75 at 0x7B405DF1FC90>,"جالسا والناس خلفه قياما لم يأمرهم بالقعود وإنما يؤخذ بالآخر فالآخر من فعل النبي صلى الله
","'       :

حَلِسُ وَلَا مَحْلَفَةٌ يَكُونا مِّمَّا يَحْبُبُ الْإِنسَانُ فَإِذَا حَدَثَ مِنْ عَذَابِ اللَّهِ صَلَى الله عليه وسلم

  :

""          ,        ,    .""","جالسا والناس خلفه قياما لم يأمرهم بالقعود وإنما يؤخذ بالآخر فالآخر من فعل النبي صلى الله
","'       :

حلس ولا محلفة يكونا مما يحبب الإنسان فإذا حدث من عذاب الله صلى الله عليه وسلم

  :

""          ,        ,    ."""
235,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1207x77 at 0x7B405DF50110>,"المسيب أن أبا هريرة أخبره أن رسول الله صلى الله عليه وسلم قال إذا قلت لصاحبك يوم الجمعة
",السبب الذي أثار اهتمام الناس في الوقت الحالي هو إحدى المدن الأخرى التي تواجه مشكلة مماثلة.,"المسيب أن أبا هريرة أخبره أن رسول الله صلى الله عليه وسلم قال إذا قلت لصاحبك يوم الجمعة
",السبب الذي أثار اهتمام الناس في الوقت الحالي هو إحدى المدن الأخرى التي تواجه مشكلة مماثلة.
236,<PIL.Image.Image image mode=RGB size=1238x77 at 0x7B405DF4FB90>,"العهد والميثاق أن لا تسأل غير الذي أعطيت فيقول يا رب لا تجعلني أشقى خلقك فيضحك الله عز
","'       :

""أعمى راني و أسلك في ذكري أحييت يقودي يا رب لا تحمي أشقى خلقك بيدحك لدك في""","العهد والميثاق أن لا تسأل غير الذي أعطيت فيقول يا رب لا تجعلني أشقى خلقك فيضحك الله عز
","'       :

""أعمى راني و أسلك في ذكري أحييت يقودي يا رب لا تحمي أشقى خلقك بيدحك لدك في"""
237,<PIL.Image.Image image mode=RGB size=1104x77 at 0x7B4099318390>,"العشاء التي تدعونها العتمة وكان يكره النوم قبلها والحديث بعدها وكان ينفتل من صلاة
","""لقد تم تعديل القاعدة، ولكن يمكنك استخدام الأحدث بمجرد رؤيتها في صالة""","العشاء التي تدعونها العتمة وكان يكره النوم قبلها والحديث بعدها وكان ينفتل من صلاة
","""لقد تم تعديل القاعدة، ولكن يمكنك استخدام الأحدث بمجرد رؤيتها في صالة"""
238,<PIL.Image.Image image mode=RGB size=1374x103 at 0x7B4090188890>,"سلمة عن أم سلمة أم المؤمنين أنها قالت جاءت أم سليم امرأة أبي طلحة إلى رسول الله صلى الله
","'       :

""أو سلمته أو جعله قيد أخذت حاشي م سليم من لا أرى صحي إلهي عز وجل""","سلمة عن أم سلمة أم المؤمنين أنها قالت جاءت أم سليم امرأة أبي طلحة إلى رسول الله صلى الله
","'       :

""أو سلمته أو جعله قيد أخذت حاشي م سليم من لا أرى صحي إلهي عز وجل"""
239,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1188x105 at 0x7B405DF50B90>,"وبلال وأسامة بن زيد وعثمان بن طلحة ثم أغلق الباب فلبث فيه ساعة ثم خرجوا قال بن عمر
","'       :

""وَالْأُسْلَمِينَ وَزَادَ وَعِيسَانَ عَلَى الْمَلَكِيَّةِ فَهُمَا سَلَامٌ مَّنْ حُجُورِ قَالَ فِي عَدَّةٍ""

  :

""      '     ,         .""","وبلال وأسامة بن زيد وعثمان بن طلحة ثم أغلق الباب فلبث فيه ساعة ثم خرجوا قال بن عمر
","'       :

""والأسلمين وزاد وعيسان على الملكية فهما سلام من حجور قال في عدة""

  :

""      '     ,         ."""
240,<PIL.Image.Image image mode=RGB size=1362x103 at 0x7B405DF4FF50>,"عليه وسلم الصبح أربعا الصبح أربعا تابعه غندر ومعاذ عن شعبة في مالك وقال بن إسحاق عن
","'       :

""عَيْنِي فَسَمِرَ الصَّحِيحُ مِنْ رَبِّكَ الْفَصْحَاءُ عَنْ شَعْبٍ قَدْ مَا تَرَى إِيْمَانًا عَلَيْهِ""","عليه وسلم الصبح أربعا الصبح أربعا تابعه غندر ومعاذ عن شعبة في مالك وقال بن إسحاق عن
","'       :

""عيني فسمر الصحيح من ربك الفصحاء عن شعب قد ما ترى إيمانا عليه"""
241,<PIL.Image.Image image mode=RGB size=1873x60 at 0x7B409ACE3050>,"عن عبد الله بن عباس قال أقبلت راكبا على حمار أتان وأنا يومئذ قد ناهزت الاحتلام ورسول الله
","العربية هي اللغة الرسمية للبلاد

   ""       .""","عن عبد الله بن عباس قال أقبلت راكبا على حمار أتان وأنا يومئذ قد ناهزت الاحتلام ورسول الله
","العربية هي اللغة الرسمية للبلاد

   ""       ."""
